Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Sektor,Sistem Penjualan,Tingkat Pesaing Usaha,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Sasaran Produk
Industri Sulam Usus,113.0,80.0,3,Industri Pengolahan,1.0,1.0,0.2,5.0,85.0,7.0,2.0
Konveksi,82.0,51.0,1,Industri Pengolahan,2.0,1.0,0.1,10.0,55.0,7.0,1.0
Industri Pembuat Gitar,62.0,42.0,2,Industri Pengolahan,1.0,2.0,0.15,5.0,52.0,5.0,2.0
Konveksi,54.0,80.0,3,Industri Pengolahan,2.0,1.0,0.1,5.0,100.0,7.0,2.0
Usaha Pakaian Jadi,52.0,120.0,1,Industri Pengolahan,1.0,1.0,0.1,10.0,20.0,6.0,2.0
Konveksi,36.0,47.0,2,Industri Pengolahan,1.0,1.0,0.05,5.0,35.0,6.0,2.0
Pengrajin Batu Bata,20.5,23.1,4,Industri Pengolahan,1.0,2.0,0.2,10.0,27.0,5.0,1.0
Konveksi,372.0,354.0,10,Industri Pengolahan,1.0,1.0,0.2,10.0,320.0,5.0,1.0
Sangkar Burung,38.1,33.7,3,Industri Pengolahan,2.0,1.0,0.1,4.0,80.0,5.0,2.0
Sangkar Burung,52.4,64.0,6,Industri Pengolahan,2.0,0.0,0.1,8.0,80.0,4.0,2.0
Industri Kerupuk,37.0,124.0,6,Industri Pengolahan,1.0,1.0,0.1,8.0,80.0,5.0,2.0
Makanan Ringan,68.0,716.0,13,Industri Pengolahan,1.0,1.0,0.1,10.0,80.0,4.0,2.0
Pakaian Jadi,57.0,230.36,8,Industri Pengolahan,3.0,1.0,0.2,10.0,10.0,4.0,2.0
PEMBUAT SOFA,33.0,176.0,3,Industri Pengolahan,1.0,2.0,0.2,0.0,25.0,5.0,1.0
PEMBUAT KUE TRADISIONAL,64.0,99.0,2,Industri Pengolahan,1.0,1.0,0.2,0.0,50.0,5.0,1.0
FUFU IKAN CAKALANG ,267.0,295.0,6,Industri Pengolahan,1.0,1.0,0.2,10.0,250.0,5.0,1.0
PEMBUAT TOGE /KECAMBAH ,126.0,78.0,1,Industri Pengolahan,2.0,1.0,0.2,10.0,125.0,5.0,1.0
Pembuatan Ayam Goreng,111.5,12.0,1,Industri Pengolahan,1.0,1.0,0.1,10.0,342.0,6.0,1.0
Pembuatan Makanan / Catering,17.8,0.0,3,Industri Pengolahan,1.0,2.0,0.1,,7.0,4.0,1.0
Pembuatan Kue Cingkaruk,9.45,0.0,1,Industri Pengolahan,2.0,1.0,0.5,,7.0,4.0,1.0
Pembuatan Kain Sasirangan,24.6,12.0,5,Industri Pengolahan,2.0,0.0,0.8,0.0,143.0,7.0,2.0
Pembuatan Kain Sasirangan,22.25,12.0,5,Industri Pengolahan,2.0,1.0,0.75,0.0,70.0,7.0,1.0
Pembuatan Sarung Pantai,24.7,83.0,4,Industri Pengolahan,1.0,1.0,0.1,10.0,13.0,7.0,2.0
Meubel Kayu,49.6,89.4,1,Industri Pengolahan,3.0,2.0,0.2,10.0,68.0,5.0,1.0
PRODUKSI ROTI ,62.0,214.0,3,Industri Pengolahan,2.0,0.0,0.1,0.0,15.0,6.0,1.0
Pembuatan Kain Sasirangan,33.12,12.0,5,Industri Pengolahan,2.0,1.0,0.8,0.0,70.0,8.0,2.0
Produksi Peyek,8.9,63.0,2,Industri Pengolahan,2.0,2.0,0.05,3.0,6.0,5.0,1.0
Produksi Gypsum,25.0,50.0,3,Industri Pengolahan,1.0,2.0,0.05,6.0,9.0,6.0,2.0
Menjahit Pakaian,257.5,110.0,1,Industri Pengolahan,1.0,1.0,0.1,7.0,0.0,5.0,1.0
Bata,100.0,57.0,2,Industri Pengolahan,3.0,1.0,0.2,10.0,40.0,3.0,1.0
Bata,111.0,49.2,4,Industri Pengolahan,3.0,1.0,0.1,10.0,100.0,3.0,1.0
Bata,85.0,48.4,3,Industri Pengolahan,3.0,1.0,0.2,10.0,75.0,5.0,2.0
Produksi Kerupuk,36.5,570.0,4,Industri Pengolahan,1.0,1.0,0.3,10.0,215.0,5.0,0.0
Pengrajin Sangkar Burung,32.1,145.0,3,Industri Pengolahan,1.0,1.0,0.4,0.0,13.0,5.0,2.0
PRODUKSI TEMPE,70.85,136.0,3,Industri Pengolahan,3.0,2.0,0.02,10.0,186.0,3.0,1.0
Pembuatan pakaian pesanan,107.0,123.0,2,Industri Pengolahan,1.0,2.0,0.3,10.0,1.0,5.0,2.0
Pembuatan pakaian pesanan,12.4,96.0,5,Industri Pengolahan,1.0,1.0,0.15,,7.0,5.0,1.0
Pembuatan Furniture,14.06,102.0,10,Industri Pengolahan,1.0,1.0,0.2,5.0,7.0,4.0,1.0
Pembuatan Gypsum,47.0,125.0,10,Industri Pengolahan,3.0,1.0,0.1,5.0,9.0,5.0,2.0
Pembuatan Interior Gypsum,12.0,1.902,20,Industri Pengolahan,1.0,1.0,0.2,10.0,800.0,7.0,2.0
Pembuatan materi cetakan,9.0,238.5,2,Industri Pengolahan,2.0,1.0,0.3,10.0,50.0,4.0,2.0
Pembuatan Guci dan pot,204.0,960.0,9,Industri Pengolahan,2.0,0.0,0.3,10.0,175.0,5.0,2.0
Pembuatan accesoris genteng (atap rumah),333.25,120.0,5,Industri Pengolahan,2.0,1.0,0.25,10.0,300.0,4.0,2.0
Pembuatan Tempat buah,187.6,210.0,32,Industri Pengolahan,3.0,0.0,0.1,10.0,10.0,5.0,2.0
Pembuatan Wayang,19.1,24.0,8,Industri Pengolahan,2.0,0.0,0.2,4.0,1.0,5.0,2.0
Pembuatan Kap lampu,725.0,0.015525,22,Industri Pengolahan,2.0,0.0,0.25,0.0,300.0,0.0,3.0
Pembuatan Wayang,43.5,18.0,5,Industri Pengolahan,2.0,2.0,0.3,8.0,4.0,6.0,2.0
Pembuatan Kap Lampu,223.15,120.0,10,Industri Pengolahan,2.0,0.0,0.1,,10.0,6.0,2.0
Pembuatan Kain Batik Tulis,42.45,6.0,20,Industri Pengolahan,2.0,0.0,0.3,10.0,20.0,5.0,3.0
Pembuatan Peyek Kacang,97.5,850.0,15,Industri Pengolahan,2.0,0.0,0.25,10.0,74.0,5.0,1.0
"Pembuatan Bahan Baju, Jarik,dll",85.55,24.0,26,Industri Pengolahan,2.0,1.0,0.3,10.0,31.0,3.0,3.0
Pembuatan Topeng,127.2,420.0,8,Industri Pengolahan,3.0,0.0,0.2,0.0,95.0,5.0,3.0
Pembuatan Topi,32.0,62.0,4,Industri Pengolahan,2.0,2.0,0.1,,100.0,5.0,1.0
Pembuatan Tempe Dan Tahu,5.98,225.0,2,Industri Pengolahan,1.0,2.0,0.1,0.0,75.0,7.0,1.0
Industri Makanan Ringan,78.8,786.0,10,Industri Pengolahan,2.0,1.0,0.4,8.0,400.0,5.0,1.0
Pembuatan Tempe Dan Tahu,20.27,204.0,2,Industri Pengolahan,2.0,1.0,0.1,10.0,70.0,5.0,0.0
AIR MINUM,503.88,150.0,2,Industri Pengolahan,1.0,1.0,0.3,7.0,112.0,9.0,2.0
PINANG KERING,78.36,43.2,4,Industri Pengolahan,2.0,2.0,0.1,,100.0,8.0,2.0
Sangkar Burung Rotan,20.0,46.0,2,Industri Pengolahan,2.0,1.0,0.1,8.0,70.0,5.0,1.0
PENGASAPAN IKAN,71.0,120.0,4,Industri Pengolahan,1.0,2.0,0.1,10.0,70.0,6.0,1.0
Kerupuk,47.0,187.2,2,Industri Pengolahan,1.0,1.0,0.2,5.0,35.0,7.0,1.0
Gorengan,41.0,374.4,5,Industri Pengolahan,1.0,1.0,0.0,7.0,30.0,7.0,1.0
Kemplang,53.0,216.0,4,Industri Pengolahan,1.0,1.0,0.2,2.0,50.0,5.0,1.0
Keripik,55.0,252.0,3,Industri Pengolahan,1.0,1.0,0.2,6.0,50.0,5.0,1.0
Kerupuk,312.0,108.0,4,Industri Pengolahan,1.0,1.0,0.0,7.0,307.0,5.0,1.0
Meubel,42.0,43.2,3,Industri Pengolahan,1.0,1.0,0.2,10.0,15.0,4.0,2.0
Pembuatan Gorong-Gorong,15.15,105.0,4,Industri Pengolahan,1.0,2.0,0.1,0.0,100.0,4.0,2.0
Pembuatan Pakaian,29.0,60.0,3,Industri Pengolahan,1.0,1.0,0.1,10.0,100.0,4.0,1.0
Pembuatan Kue,136.0,106.0,5,Industri Pengolahan,1.0,2.0,0.2,5.0,200.0,5.0,1.0
Percetakan,29.0,68.0,2,Industri Pengolahan,1.0,1.0,0.1,0.0,400.0,5.0,1.0
"Pembuatan Pagar, Kanopi dan Teralis",39.0,180.0,4,Industri Pengolahan,2.0,2.0,0.1,0.0,300.0,6.0,3.0
PEMBUAT TAHU SUMEDANG,52.0,216.0,3,Industri Pengolahan,2.0,2.0,0.2,10.0,43.0,6.0,1.0
Pembuatan Kemplang,100.0,120.0,0,Industri Pengolahan,1.0,0.0,0.1,4.0,80.0,3.0,1.0
Pembuatan Gorden,28.0,12.0,4,Industri Pengolahan,1.0,1.0,0.25,5.0,200.0,5.0,2.0
Penjahit Konveksi,102.1,234.0,6,Industri Pengolahan,1.0,0.0,0.1,0.0,113.0,10.0,1.0
KERIPIK PISANG,41.0,252.0,9,Industri Pengolahan,2.0,1.0,0.2,10.0,4.0,5.0,1.0
SANDAL,77.7,201.6,4,Industri Pengolahan,2.0,1.0,0.2,10.0,30.0,4.0,2.0
IKAN BANDENG,136.99,536.4,3,Industri Pengolahan,2.0,1.0,0.2,10.0,6.0,7.0,2.0
SATE BANDENG,114.5,590.4,6,Industri Pengolahan,2.0,1.0,0.2,0.0,4.0,4.0,2.0
Kertas Daur Ulang,173.6,17.3,10,Industri Pengolahan,1.0,0.0,0.1,5.0,6.0,4.0,1.0
Pembuatan Kusen,17.1,20.5,2,Industri Pengolahan,1.0,1.0,0.2,8.0,50.0,4.0,2.0
Pembuatan pakaian,588.0,450.0,5,Industri Pengolahan,1.0,1.0,0.3,,524.0,6.0,2.0
Pembuatan furniture,0.012925,244.0,6,Industri Pengolahan,1.0,1.0,0.3,,17.0,6.0,2.0
Pembuatan gypsum ,1.035,102.0,25,Industri Pengolahan,1.0,0.0,0.3,10.0,115.0,6.0,2.0
Pembuatan roti,97.2,104.0,8,Industri Pengolahan,1.0,2.0,0.1,,524.0,6.0,1.0
Mesin,0.017918,624.0,14,Industri Pengolahan,1.0,2.0,0.3,,545.0,10.0,2.0
Pembuatan keripik,203.0,135.0,4,Industri Pengolahan,1.0,2.0,0.2,10.0,128.0,5.0,1.0
Roti Tawar,109.0,109.0,6,Industri Pengolahan,1.0,2.0,0.01,2.0,40.0,5.0,1.0
Taylor,144.0,16.0,3,Industri Pengolahan,1.0,2.0,0.35,10.0,148.0,6.0,1.0
Pembuatan Meubel,60.0,104.0,3,Industri Pengolahan,1.0,2.0,0.1,0.0,100.0,7.0,2.0
Pembuatan Pakaian,49.0,85.0,3,Industri Pengolahan,1.0,1.0,0.1,10.0,100.0,4.0,1.0
Pembuatan Pakaian,75.0,86.0,3,Industri Pengolahan,1.0,2.0,0.1,0.0,100.0,5.0,1.0
Pembuatan Pakaian,313.0,52.8,2,Industri Pengolahan,1.0,1.0,0.1,0.0,218.0,8.0,2.0
Pembuatan Bordir,27.0,60.0,4,Industri Pengolahan,1.0,2.0,0.3,0.0,10.0,6.0,2.0
Pembuat Pakaian,511.2,9.8,2,Industri Pengolahan,1.0,2.0,0.25,0.0,600.0,7.0,2.0
Penjahit Pakaian/ Konveksi,162.13,160.48,6,Industri Pengolahan,2.0,2.0,0.6,0.0,147.0,7.0,1.0
KERAJINAN SOFA,92.0,600.0,6,Industri Pengolahan,1.0,2.0,0.5,0.0,36.0,7.0,2.0
Bahan Bangunan,374.6,168.0,5,Industri Pengolahan,2.0,0.0,0.2,0.0,45.0,8.0,2.0
Produksi Sandal,73.5,89.0,4,Industri Pengolahan,2.0,1.0,0.4,,54.0,2.0,1.0
Produksi Tempe,19.0,296.0,2,Industri Pengolahan,2.0,1.0,0.2,9.0,45.0,6.0,1.0
Produksi Makaroni,990.0,370.0,8,Industri Pengolahan,3.0,1.0,0.5,0.0,785.0,9.0,1.0
Salon,21.0,56.0,2,Industri Pengolahan,1.0,1.0,0.1,10.0,100.0,3.0,1.0
Kasur,5.0,48.0,1,Industri Pengolahan,1.0,1.0,0.3,3.0,10.0,4.0,1.0
Pengolahan Kayu,116.0,30.0,1,Industri Pengolahan,3.0,1.0,0.25,,8.0,4.0,2.0
Kerupuk Jangek,97.0,291.6,2,Industri Pengolahan,1.0,0.0,0.25,,754.0,6.0,2.0
Usaha Kerupuk,140.7,436.05,9,Industri Pengolahan,1.0,2.0,0.3,,140.0,7.0,0.0
Rendang,290.0,127.5,8,Industri Pengolahan,2.0,1.0,0.35,0.0,0.0,,1.0
Menjual Dodol Nanas,303.0,32.0,12,Industri Pengolahan,2.0,2.0,0.35,8.0,126.0,6.0,1.0
Kue Kering,50.0,50.0,3,Industri Pengolahan,1.0,2.0,0.1,0.0,48.0,5.0,1.0
Gula Merah,38.0,26.0,1,Industri Pengolahan,2.0,1.0,0.2,10.0,26.0,7.0,1.0
Pembuatan Tiang Rumah dan Prasasti,391.5,804.0,5,Industri Pengolahan,1.0,1.0,0.1,10.0,370.0,7.0,2.0
BATU BATA,114.0,144.0,6,Industri Pengolahan,2.0,1.0,0.3,10.0,108.0,5.0,2.0
GENTENG,113.0,72.0,8,Industri Pengolahan,2.0,1.0,0.3,10.0,110.0,2.0,2.0
Pia Kacang,37.0,55.0,2,Industri Pengolahan,1.0,2.0,0.3,0.0,0.0,3.0,1.0
Marina Asri,131.0,525.0,6,Industri Pengolahan,1.0,1.0,0.2,0.0,107.0,9.0,1.0
"Pabrik Tahu, Tempe",160.0,1.44,8,Industri Pengolahan,1.0,1.0,0.2,0.0,48.0,6.0,1.0
Mie Basah,897.0,1.02,4,Industri Pengolahan,1.0,2.0,0.3,0.0,326.0,7.0,1.0
Meubel,585.0,540.0,4,Industri Pengolahan,1.0,0.0,0.2,0.0,200.0,4.0,2.0
Kerajinan Tangan,213.0,825.0,6,Industri Pengolahan,2.0,2.0,0.2,0.0,46.0,3.0,2.0
Kerajinan Tangan,23.0,71.0,7,Industri Pengolahan,1.0,2.0,0.3,0.0,16.0,3.0,1.0
Depot Air Minum,122.0,204.0,2,Industri Pengolahan,1.0,0.0,0.1,0.0,641.0,10.0,1.0
JUAL KUBUR JADI,23.0,42.0,2,Industri Pengolahan,1.0,2.0,0.05,,15.0,3.0,1.0
Pembuatan Gypsum,47.0,125.0,10,Industri Pengolahan,1.0,1.0,0.1,10.0,100.0,5.0,2.0
Pembuatan Interior Gypsum,162.0,405.0,20,Industri Pengolahan,3.0,1.0,0.3,10.0,100.0,8.0,2.0
Pembuatan Jok,10.6,79.0,1,Industri Pengolahan,1.0,1.0,0.1,,0.0,4.0,1.0
Produksi Tahu Tempe,85.0,72.0,3,Industri Pengolahan,2.0,1.0,0.2,9.0,81.0,6.0,1.0
Pengerajin Beton,181.0,58.0,2,Industri Pengolahan,1.0,0.0,0.2,10.0,115.0,6.0,1.0
Kerajinan Kayu Profile,385.0,70.0,3,Industri Pengolahan,3.0,0.0,0.2,8.0,35.0,4.0,2.0
Makanan Ringan,146.0,105.0,30,Industri Pengolahan,3.0,0.0,0.3,9.0,320.0,5.0,1.0
Pembuatan Dan Penjualan Kerupuk,80.0,245.0,30,Industri Pengolahan,3.0,1.0,0.3,10.0,16.0,5.0,1.0
Pengecer Pupuk,493.0,61.0,2,Industri Pengolahan,1.0,0.0,0.3,8.0,75.0,5.0,1.0
Kerupuk,232.0,116.0,18,Industri Pengolahan,1.0,0.0,0.3,10.0,229.0,4.0,1.0
Pembuatan Furniture,39.5,100.0,3,Industri Pengolahan,1.0,2.0,0.3,10.0,5.0,5.0,2.0
Pembuatan Sepatu dan sandal,123.39,142.5,5,Industri Pengolahan,1.0,0.0,0.3,,205.0,5.0,2.0
Industri Keripik Tempe,95.0,12.0,1,Industri Pengolahan,1.0,2.0,0.1,7.0,40.0,7.0,2.0
KERAJINAN PANDAN,121.95,113.1,26,Industri Pengolahan,1.0,1.0,0.05,10.0,110.0,6.0,2.0
KERAJINAN KERANG,120.09,98.0,4,Industri Pengolahan,1.0,2.0,0.05,10.0,90.0,5.0,1.0
PEMBUATAN BOIS ,289.0,204.0,4,Industri Pengolahan,1.0,1.0,0.2,0.0,243.0,6.0,1.0
PEMBUATAN MEBELAIR,77.0,300.0,3,Industri Pengolahan,1.0,1.0,0.25,0.0,30.0,6.0,0.0
PEMBUATAN TELA PRESS,150.0,864.0,8,Industri Pengolahan,1.0,1.0,0.4,0.0,295.0,7.0,1.0
Pembuatan Souvenir,125.5,55.5,13,Industri Pengolahan,2.0,1.0,0.3,10.0,25.0,7.0,2.0
Pembuatan Peyek kacang dan Kedelai,118.3,1.179,16,Industri Pengolahan,2.0,1.0,0.25,,50.0,5.0,1.0
Pembuatan Kipas Kulit,125.75,46.5,12,Industri Pengolahan,3.0,1.0,0.1,5.0,20.0,6.0,2.0
"Pembuatan Patung gajah, pot ukiran gajah",151.0,284.0,15,Industri Pengolahan,2.0,2.0,0.3,10.0,100.0,4.0,2.0
Pembuatan Pot dan Vas,123.75,72.0,2,Industri Pengolahan,3.0,0.0,0.3,5.0,20.0,4.0,2.0
Pembuatan Kerajinan Kuningan,149.25,48.0,5,Industri Pengolahan,3.0,2.0,0.3,5.0,20.0,6.0,3.0
"Pembuatan Kendil, guci, pot",233.5,120.0,7,Industri Pengolahan,3.0,0.0,0.25,5.0,10.0,5.0,2.0
Otak-Otak,0.0,0.0,3,Industri Pengolahan,1.0,1.0,0.0,10.0,50.0,7.0,1.0
Pembuatan Kerupuk,0.0,0.0,2,Industri Pengolahan,1.0,0.0,0.0,10.0,7.0,6.0,1.0
Es Rumput Laut,0.0,0.0,1,Industri Pengolahan,1.0,1.0,0.0,5.0,12.0,3.0,1.0
Gorengan,0.0,0.0,4,Industri Pengolahan,1.0,0.0,0.0,10.0,10.0,4.0,1.0
Pukis,0.0,0.0,1,Industri Pengolahan,1.0,1.0,0.0,10.0,10.0,5.0,1.0
Otak-Otak,0.0,0.0,2,Industri Pengolahan,1.0,0.0,0.0,10.0,0.0,3.0,1.0
Kerupuk,0.0,0.0,2,Industri Pengolahan,1.0,0.0,0.0,10.0,125.0,4.0,1.0
Jus Buah,0.0,0.0,1,Industri Pengolahan,1.0,2.0,0.0,10.0,10.0,6.0,2.0
Keripik Ubi,0.0,0.0,4,Industri Pengolahan,1.0,1.0,0.0,10.0,8.0,6.0,1.0
Jual Kue,0.0,0.0,4,Industri Pengolahan,1.0,1.0,0.0,10.0,7.0,7.0,1.0
Otak-Otak,0.0,0.0,1,Industri Pengolahan,1.0,0.0,0.0,10.0,15.0,5.0,1.0
Percetakan,0.0,0.0,1,Industri Pengolahan,1.0,1.0,0.0,5.0,12.0,5.0,2.0
Kerupuk,0.0,0.0,18,Industri Pengolahan,1.0,0.0,0.0,10.0,12.0,7.0,1.0
Brownies,0.0,0.0,2,Industri Pengolahan,1.0,1.0,0.0,10.0,7.0,6.0,2.0
Pembuatan Jok Mobil,394.5,240.0,2,Industri Pengolahan,2.0,2.0,0.1,8.0,4.0,5.0,2.0
Pembuatan Furniture,366.65,1.5,10,Industri Pengolahan,1.0,2.0,0.2,,250.0,7.0,2.0
Pembuatan kerajinan rotan,296.0,96.0,2,Industri Pengolahan,2.0,2.0,0.1,,280.0,4.0,3.0
Percetakan,13.5,288.0,1,Industri Pengolahan,1.0,1.0,0.1,10.0,12.0,3.0,0.0
Production House,19.5,36.0,2,Industri Pengolahan,1.0,1.0,0.1,3.0,12.0,4.0,2.0
Industri Bata,79.4,48.0,6,Industri Pengolahan,3.0,1.0,0.2,,35.0,3.0,2.0
KERUPUK,9.12,18.4,5,Industri Pengolahan,2.0,0.0,0.1,8.0,63.0,3.0,1.0
KERUPUK,45.65,297.0,20,Industri Pengolahan,2.0,0.0,0.15,,20.0,3.0,1.0
KERIPIK,32.5,270.0,8,Industri Pengolahan,2.0,1.0,0.2,9.0,12.0,2.0,1.0
KERIPIK UBI,61.0,132.0,12,Industri Pengolahan,1.0,0.0,0.1,10.0,45.0,5.0,1.0
KERIPIK IKAN TENGIRI,252.8,43.2,2,Industri Pengolahan,1.0,2.0,0.5,8.0,10.0,4.0,1.0
KERUPUK,14.66,364.5,2,Industri Pengolahan,2.0,0.0,0.2,,22.0,6.0,1.0
KERUPUK,40.08,114.0,2,Industri Pengolahan,2.0,0.0,0.3,,34.0,4.0,1.0
USAHA KERUPUK BERAS IBU HASIDAH,16.25,16.75,1,Industri Pengolahan,3.0,2.0,0.2,,12.0,2.0,1.0
TOPENG KAYU,57.08,279.0,9,Industri Pengolahan,3.0,0.0,0.1,10.0,35.0,9.0,3.0
PENGERAJIN GENTENG,15.84,43.2,5,Industri Pengolahan,1.0,0.0,0.1,9.0,40.0,3.0,2.0
KERUPUK,139.0,114.0,15,Industri Pengolahan,3.0,0.0,0.2,8.0,10.0,4.0,1.0
Pembuatan Peyek kacang ,79.8,0.015552,19,Industri Pengolahan,3.0,0.0,0.25,5.0,35.0,5.0,2.0
Pembuatan Peyek kacang,126.6,0.143208,16,Industri Pengolahan,3.0,0.0,0.3,0.0,75.0,5.0,2.0
Pembuatan peyek kacang dan peyek kedele,80.25,336.96,4,Industri Pengolahan,3.0,0.0,0.25,5.0,25.0,5.0,1.0
Pembuatan Peyek Kacang,121.75,0.012636,15,Industri Pengolahan,3.0,1.0,0.3,10.0,80.0,5.0,2.0
Pembuatan Peyek Kacang,148.72,0.128304,14,Industri Pengolahan,3.0,0.0,0.25,5.0,120.0,3.0,1.0
Tahu,146.0,365.0,6,Industri Pengolahan,3.0,1.0,0.1,8.0,100.0,5.0,1.0
Bata,122.0,39.0,3,Industri Pengolahan,3.0,1.0,0.2,10.0,70.0,5.0,2.0
Genteng,120.0,105.0,4,Industri Pengolahan,3.0,1.0,0.1,10.0,75.0,5.0,1.0
Industri Klanting,107.0,89.1,17,Industri Pengolahan,2.0,1.0,0.1,10.0,75.0,5.0,1.0
Industri Genteng,129.0,49.5,3,Industri Pengolahan,3.0,1.0,0.1,10.0,75.0,5.0,2.0
Gula Aren,119.0,166.0,2,Industri Pengolahan,2.0,1.0,0.15,5.0,40.0,4.0,1.0
Bata,65.4,42.3,3,Industri Pengolahan,3.0,1.0,0.2,8.0,40.0,5.0,2.0
Bata,133.0,48.0,6,Industri Pengolahan,3.0,1.0,0.15,10.0,43.0,4.0,2.0
Batu Bata,611.0,98.4,4,Industri Pengolahan,1.0,1.0,0.15,10.0,600.0,4.0,2.0
Batu Bata,157.0,73.8,3,Industri Pengolahan,1.0,1.0,0.2,10.0,150.0,5.0,2.0
Batu Merah,558.5,81.0,3,Industri Pengolahan,3.0,2.0,0.2,10.0,258.0,7.0,1.0
Batu Merah,42.75,81.0,2,Industri Pengolahan,1.0,2.0,0.2,10.0,53.0,7.0,1.0
Bakwan Malang,422.0,840.0,15,Industri Pengolahan,1.0,2.0,0.25,,367.0,5.0,1.0
Somay,106.16,720.0,20,Industri Pengolahan,1.0,2.0,0.25,,187.0,5.0,1.0
Tape Singkong,54.9,240.0,3,Industri Pengolahan,1.0,1.0,0.25,,58.0,4.0,1.0
Pembuatan Etalase Dan Las,291.0,54.0,5,Industri Pengolahan,1.0,0.0,0.05,10.0,30.0,5.0,2.0
Telor Asin,164.0,72.0,2,Industri Pengolahan,2.0,0.0,1.0,5.0,80.0,9.0,1.0
Pembuatan Kusen-Kusen,143.0,120.0,4,Industri Pengolahan,2.0,1.0,0.5,10.0,50.0,8.0,2.0
"Pembuatan Pastri, Cake & kue kering",250.5,108.0,5,Industri Pengolahan,1.0,0.0,0.61,0.0,235.0,5.0,1.0
Pembuatan Kue/ stick,65.61,48.0,5,Industri Pengolahan,2.0,1.0,0.93,5.0,84.0,5.0,2.0
Pembuatan Kalua Jeruk,354.5,72.0,8,Industri Pengolahan,1.0,1.0,0.83,10.0,622.0,8.0,2.0
Pembuatan Kalua Jeruk,74.59,60.0,4,Industri Pengolahan,1.0,0.0,0.5,10.0,50.0,4.0,2.0
Pembuatan Kalua Jeruk,206.79,72.0,5,Industri Pengolahan,1.0,0.0,0.62,0.0,254.0,7.0,2.0
Pembuatan Sarung golok,10.95,48.0,4,Industri Pengolahan,2.0,2.0,0.44,7.0,20.0,6.0,2.0
Pembuatan Kalua Jeruk,340.51,64.8,4,Industri Pengolahan,1.0,0.0,0.6,7.0,623.0,7.0,2.0
"Pembuatan Risoles, Puding, Sus, Dll",2.8,48.0,2,Industri Pengolahan,1.0,1.0,0.61,8.0,0.0,3.0,1.0
Mino,3.11,1.11,16,Industri Pengolahan,2.0,1.0,0.2,10.0,0.0,9.0,2.0
Pembuatan Kalua Jeruk,18.12,45.0,4,Industri Pengolahan,3.0,1.0,0.18,10.0,35.0,3.0,1.0
PRODUKSI TEMPE,101.0,48.0,0,Industri Pengolahan,1.0,1.0,0.4,10.0,88.0,4.0,1.0
MEUBEL,260.0,380.0,5,Industri Pengolahan,1.0,1.0,0.15,10.0,180.0,5.0,2.0
CATERING DAN KUE,126.0,350.0,4,Industri Pengolahan,1.0,1.0,0.1,10.0,85.0,4.0,1.0
Pembuatan Furniture,427.5,435.0,3,Industri Pengolahan,1.0,1.0,0.1,0.0,0.0,4.0,2.0
Pengolahan Kedelai,116.3,107.0,2,Industri Pengolahan,1.0,0.0,0.1,10.0,115.0,5.0,1.0
Pembuatan Kusen,14.0,60.0,2,Industri Pengolahan,1.0,0.0,0.2,5.0,0.0,4.0,1.0
Pengolahan Almunium,24.62,180.0,6,Industri Pengolahan,1.0,1.0,0.3,10.0,0.0,4.0,2.0
Pembuatan Kusen,19.0,360.0,6,Industri Pengolahan,1.0,0.0,0.2,10.0,0.0,4.0,2.0
Pembuatan Kusen,28.0,240.0,4,Industri Pengolahan,1.0,1.0,0.1,10.0,0.0,4.0,2.0
Pembuatan Kusen,17.0,240.0,6,Industri Pengolahan,1.0,1.0,0.2,10.0,0.0,5.0,2.0
Pembuatan Pagar Besi,21.0,180.0,6,Industri Pengolahan,1.0,1.0,0.2,10.0,0.0,5.0,2.0
Pembuatan Kusen,66.0,72.0,3,Industri Pengolahan,1.0,1.0,0.3,10.0,50.0,5.0,2.0
Pembuatan Sofa,34.15,168.0,3,Industri Pengolahan,1.0,2.0,0.1,10.0,116.0,3.0,1.0
Pembuatan Kusen,124.5,170.0,3,Industri Pengolahan,1.0,1.0,0.1,10.0,12.0,6.0,1.0
Produksi Purun,8.05,2.8,1,Industri Pengolahan,3.0,2.0,0.1,4.0,9.0,4.0,1.0
Produksi Purun,8.02,2.56,1,Industri Pengolahan,3.0,2.0,0.1,3.0,7.0,3.0,1.0
Produksi Gerabah,67.0,194.0,7,Industri Pengolahan,3.0,2.0,0.1,9.0,50.0,5.0,2.0
Produksi Loster,69.0,90.0,5,Industri Pengolahan,3.0,2.0,0.15,9.0,58.0,6.0,2.0
Rendang,39.0,72.0,3,Industri Pengolahan,3.0,2.0,0.2,8.0,160.0,6.0,3.0
Perabot,457.0,516.0,3,Industri Pengolahan,1.0,1.0,0.2,3.0,337.0,6.0,2.0
Kompor,153.0,122.0,4,Industri Pengolahan,1.0,2.0,0.4,7.0,150.0,5.0,1.0
Kripik Pisang,179.0,158.0,3,Industri Pengolahan,3.0,1.0,0.15,10.0,175.0,4.0,1.0
Pembuatan Pavin Blok,195.0,108.0,3,Industri Pengolahan,1.0,1.0,0.3,0.0,10.0,5.0,1.0
Pembuatan Meubel,63.0,240.0,3,Industri Pengolahan,1.0,1.0,0.15,0.0,150.0,8.0,2.0
